curve_id,arc_length,curvature_mean,curvature_max,curvature_std,curvature_median,curvature_q95,slope_mean,slope_std,angle_mean,angle_std,angle_range,direction_changes,speed_mean,speed_std,speed_min,speed_max,speed_cv,n_maxima,n_minima,n_inflection,n_extrema,type
1,378.3512953694987,0.020421053900376775,0.06450451500279324,0.01463996252989753,0.01919564971015035,0.04827162500136114,0.20132395432474276,0.4801775637414558,9.300865547297983,23.00819941348583,88.31875243612521,5,0.047302303529278625,0.00918279974124186,0.03181440716171506,0.07095284500399894,0.194130075199361,3,2,14,5,abierta_compleja
2,342.07006875395473,0.04318603531874581,0.18665152064762175,0.04483469286685506,0.02618076328247891,0.1511979343526379,0.09532411177174571,0.7599641153162828,3.1734098021293,33.926260719165555,105.073348890244,9,0.04276704789716814,0.01287426603867844,0.020831981167511622,0.07309727080548539,0.3010323758991773,5,4,10,9,abierta_compleja
3,240.0328008113342,0.022071694996564625,0.05401043395757524,0.01309633883603091,0.021280919050357602,0.0425784385392918,0.2945994321475737,0.5249660291924534,13.676101674108683,25.123152167917986,82.38790870340564,5,0.030008060652157702,0.0056797761580628,0.01782346114616985,0.03917113430087743,0.18927501593324061,3,2,8,5,abierta_compleja
4,121.82966028353886,0.021437076283491386,0.08206372140030327,0.020274600290973756,0.01391881674220414,0.0706982621203053,0.5306013915085094,0.5035746635584868,24.07850066292082,22.944290071634065,62.99395686375088,2,0.015231094178625473,0.002608813000352296,0.010574407327166878,0.01939741519220435,0.1712820477476509,1,1,3,2,abierta_compleja
5,246.04743578990445,0.02346352655568151,0.07874042231247756,0.02071578742074337,0.017261675298448277,0.06820752685641808,0.12134765196631424,0.7161381703847379,2.467092105664054,29.277737292553887,105.18150787305086,5,0.030760999996244875,0.008699425143317277,0.017842146160080005,0.05379647392080049,0.28280696805628075,3,2,8,5,abierta_compleja
6,179.87251141561364,0.02397174426968457,0.09494559003578702,0.022434295730584256,0.01732940397543283,0.08178346718111958,0.150075355861516,0.8354974726666952,8.264437711259307,36.74129912432429,105.8951425292868,1,0.022485930364614447,0.009224429952841283,0.011917424122555044,0.043262900522372784,0.41023118915984635,1,0,4,1,abierta_compleja
7,99.68093982638476,0.018071362709160214,0.061139777832698354,0.017389571609948973,0.01198558882163811,0.05763344484420022,0.5368646635290127,0.29973103756304004,26.685658346158334,12.887998550798295,48.042145408679,1,0.012461564503166577,0.0029483323044410055,0.006588343644273682,0.016565112701084996,0.2365940732154307,0,1,4,1,abierta_compleja
8,239.09711883007463,0.026917505140612613,0.08515604925867502,0.02173093961492103,0.0218861919421994,0.06510027940950508,0.10737884181913879,0.6648972076829456,4.89763706652511,30.355642882098138,108.57547574370523,4,0.02989073145489627,0.007174467723581993,0.019493732127709683,0.04572799096545964,0.24002315682397846,2,2,11,4,abierta_compleja
9,121.54737840760717,0.03698758309485186,0.12989485732802136,0.033215497304946225,0.025663810582448557,0.10380458185761263,0.3508015883549451,0.7641228601298454,12.914511871295304,31.89019043740512,100.27062402396649,2,0.015196752608289515,0.006678572683945771,0.007622824016609636,0.028079715484231056,0.43947367283604705,1,1,9,2,abierta_compleja
10,332.87800867694926,0.016157815766679767,0.08025607142459987,0.016243236054103754,0.011668815781458676,0.047953302755044565,0.07930906723946406,0.6981780619026884,0.8669368542684974,26.97279909207075,105.69140926999093,5,0.041615321904602355,0.007902895744291453,0.026267290912386984,0.0629203570772213,0.18990351107718934,3,2,8,5,abierta_compleja
